,Education,Income
1,10,26.6588388
2,10.40133779,27.3064353
3,10.84280936,22.1324102
4,11.24414716,21.1698405
5,11.64548495,15.1926335
6,12.08695652,26.398951
7,12.48829431,17.4353066
8,12.88963211,25.5078852
9,13.2909699,36.8845947
10,13.73244147,39.6661087
11,14.13377926,34.3962806
12,14.53511706,41.4979935
13,14.97658863,44.9815749
14,15.37792642,47.0395953
15,15.77926421,48.2525783
16,16.22073579,57.0342513
17,16.62207358,51.4909192
18,17.02341137,61.3366206
19,17.46488294,57.5819882
20,17.86622074,68.553714
21,18.26755853,64.3109253
22,18.7090301,68.9590086
23,19.11036789,74.6146393
24,19.51170569,71.8671953
25,19.91304348,76.0981354
26,20.35451505,75.775218
27,20.75585284,72.4860553
28,21.15719064,77.3550206
29,21.59866221,72.1187905
30,22,80.2605705
